Information Resource, URL, Family Member Last Name, Family Member First Name, Recording Title, Author, Publication Date
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=50&bibId=1064690 , Batiste, Johnny, Follow me chicken [sound recording] / Nathan & the Zydeco Cha-Chas., Williams  Nathan  1963-., 1993
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=51&bibId=3233572 , Batiste, Sadie Goodson, A jazz gumbo [sound recording]., Williams  Nathan  1963-., 1993
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=51&bibId=3233572 , Batiste, Sadie, A jazz gumbo [sound recording]., Williams  Nathan  1963-., 1993
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=51&bibId=3233572 , Batiste, Milton, A jazz gumbo [sound recording]., Williams  Nathan  1963-., 1993
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=52&bibId=2311840 , Batiste, Paul, Jelly [sound recording] / Dirty Dozen Brass Band., Dirty Dozen Brass Band., 1993
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=52&bibId=2311840 , Batiste, Lionel Paul, Jelly [sound recording] / Dirty Dozen Brass Band., Dirty Dozen Brass Band., 1993
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=52&bibId=2311840 , Batiste, Paul Jr., Jelly [sound recording] / Dirty Dozen Brass Band., Dirty Dozen Brass Band., 1993
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=53&bibId=3528777 , Batiste, Milton, New Orleans jazz classics [sound recording] : a tribute to Louis Armstrong / featuring the Young Olmpians., Young Olympians (Musical group), 1993
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=54&bibId=3528815 , Battiste, Harold, From bad to badder [sound recording] / the American Jazz Quintet., American Jazz Quintet., 1992
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=54&bibId=3528815 , Batiste, Alvin, From bad to badder [sound recording] / the American Jazz Quintet., American Jazz Quintet., 1992
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=55&bibId=2282890 , Battiste, Harold, In the beginning [sound recording] / American Jazz Quintet., American Jazz Quintet., 1991
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=55&bibId=2282890 , Batiste, Alvin, In the beginning [sound recording] / American Jazz Quintet., American Jazz Quintet., 1991
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=56&bibId=2285795 , Batiste, Lionel, The New Orleans album [sound recording] / the Dirty Dozen Brass Band., Dirty Dozen Brass Band., 1990
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=58&bibId=2285785 , Batiste, Lionel, Voodoo [sound recording] / The Dirty Dozen Brass Band., Dirty Dozen Brass Band., 1989
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=0&bibId=3528810 , Battiste, Harold, Gold Coast jazz. Volume 1 [sound recording]., American Jazz Quintet  composer  performer., 2013
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=0&bibId=3528810 , Batiste, Alvin, Gold Coast jazz. Volume 1 [sound recording]., American Jazz Quintet  composer  performer., 2013
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=1&bibId=2881662 , Battiste, Harold, The sounds of Harold's horn [sound recording] / Harold Battiste., Battiste  Harold., 2010
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=2&bibId=2881905 , Battiste, Warren, Quiet storm In New Orleans [sound recording] / Warren Battiste., Battiste  Warren., 2008
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=3&bibId=2465971 , Battiste, Harold, Lagniappe  the 2nd 50 years [sound recording] : the future of our past / Harold Battiste., Battiste  Harold., 2004
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=4&bibId=2859852 , Battiste, Harold, New Orleans music [sound recording] : [from] American routes  with Nick Spitzer., Battiste  Harold., 2003
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=5&bibId=3408289 , Battiste, Harold, Next generation [sound recording]., Battiste  Harold., 1996
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=6&bibId=2286626 , Batiste, Alvin, Boogie live-- 1958 [sound recording] / featuring Ed Blackwell and AJQ-2., Blackwell  Ed., 1994
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=7&bibId=2282960 , Battiste, Harold, Compendium [sound recording] / the AFO Executives & Tammy Lynn., AFO Executives., 1993
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=8&bibId=3528815 , Battiste, Harold, From bad to badder [sound recording] / the American Jazz Quintet., American Jazz Quintet., 1992
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=8&bibId=3528815 , Batiste, Alvin, From bad to badder [sound recording] / the American Jazz Quintet., American Jazz Quintet., 1992
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=9&bibId=3108423 , Battiste, Harold, In the bag [sound recording] / Nat Adderley Sextet., Nat Adderley Sextet., 1991
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=10&bibId=2282890 , Battiste, Harold, In the beginning [sound recording] / American Jazz Quintet., American Jazz Quintet., 1991
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=452&recCount=50&recPointer=10&bibId=2282890 , Batiste, Alvin, In the beginning [sound recording] / American Jazz Quintet., American Jazz Quintet., 1991
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=451&recCount=50&recPointer=0&bibId=3653823 , Baptiste, Milton, New Orleans 2nd line [sound recording]., American Jazz Quintet., 2016
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=451&recCount=50&recPointer=0&bibId=3653823 , Batiste, Lionel, New Orleans 2nd line [sound recording]., American Jazz Quintet., 2016
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=451&recCount=50&recPointer=0&bibId=3653823 , Batiste, Uncle Lionel, New Orleans 2nd line [sound recording]., American Jazz Quintet., 2016
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=451&recCount=50&recPointer=2&bibId=3315529 , Baptiste, Terrell, ToBeContinued Brass Band [sound recording]., American Jazz Quintet., 2012
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=451&recCount=50&recPointer=3&bibId=2778000 , Baptiste, Milton, Champion Jack Dupree [sound recording]., Dupree  Champion Jack  -1992., 2009
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=451&recCount=50&recPointer=5&bibId=2589949 , Baptiste, N/A, Bound for glory [ sound recording] / The Gospel Stars., Gospel Stars (Musical group : Mark Sandifer), 2002
